addr          name                           size  callers
0050:99ff     FUN_0050_99ff                   147  FUN_0050_9913,FUN_0050_ae17
0050:9eac     FUN_0050_9eac                    12  FUN_0050_4bb5
0050:9ebc     FUN_0050_9ebc                   197  FUN_0050_3593
0050:a0f8     FUN_0050_a0f8                    23  FUN_0050_9ebc
0050:a153     FUN_0050_a153                    67  FUN_0050_8a2a,FUN_0050_9913,FUN_0050_a196,FUN_0050_ab96,FUN_0050_ae17,FUN_0050_b32b
0050:a196     FUN_0050_a196                   211  FUN_0050_ae17
0050:a269     FUN_0050_a269                    14  FUN_0050_a196
0050:a2d4     FUN_0050_a2d4                    76  FUN_0050_3593
0050:a3ca     FUN_0050_a3ca                     7  FUN_0050_360c
0050:a493     FUN_0050_a493                    27  FUN_0050_8a42,FUN_0050_91fa
0050:a4ae     FUN_0050_a4ae                    43  FUN_0050_4ab2,FUN_0050_4ad6
0050:a4da     FUN_0050_a4da                   124  FUN_0050_a4ae,FUN_0050_a59f
0050:a557     FUN_0050_a557                    72  FUN_0050_4daa,FUN_0050_50f7,FUN_0050_587e
0050:a59f     FUN_0050_a59f                    48  FUN_0050_3bf7,FUN_0050_4266
